,# index, name, nodeLabel, _pos
130,130,American_Samoa,American_Samoa,"array([-4.62400238, -3.90843147])"
131,131,Antigua_and_Barbuda,Antigua_and_Barbuda,"array([-4.28595248, -4.01418832])"
94,94,Bolivia_(Plurinational_State_of),Bolivia_(Plurinational_State_of),"array([-4.38305355, -4.01484635])"
50,50,Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,"array([-4.43374004, -4.01764927])"
187,187,British_Virgin_Islands,British_Virgin_Islands,"array([-4.46481689, -4.13039496])"
201,201,Brunei_Darussalam,Brunei_Darussalam,"array([-4.39103594, -3.78813566])"
169,169,Burkina_Faso,Burkina_Faso,"array([-4.43754126, -4.03555492])"
52,52,Cabo_Verde,Cabo_Verde,"array([-4.46488249, -4.03354487])"
209,209,Cayman_Islands,Cayman_Islands,"array([-4.2373855 , -3.94660528])"
117,117,Central_African_Republic,Central_African_Republic,"array([-4.36849038, -3.88658357])"
7,7,"China,_Hong_Kong_SAR","China,_Hong_Kong_SAR","array([-4.40214691, -3.95019817])"
139,139,"China,_Macao_SAR","China,_Macao_SAR","array([-4.40467219, -3.90026191])"
9,9,"China,_Taiwan_Province_of","China,_Taiwan_Province_of","array([-4.40799818, -3.94559593])"
8,8,"China,_mainland","China,_mainland","array([-4.4202127 , -3.96274827])"
190,190,Cook_Islands,Cook_Islands,"array([-4.43368604, -3.76781587])"
57,57,Costa_Rica,Costa_Rica,"array([-4.38568897, -3.98912031])"
62,62,Czech_Republic,Czech_Republic,"array([-4.454535 , -3.9803759])"
58,58,C̫te_d'Ivoire,C̫te_d'Ivoire,"array([-4.40896243, -4.00853643])"
140,140,Democratic_People's_Republic_of_Korea,Democratic_People's_Republic_of_Korea,"array([-4.31545466, -3.93552164])"
141,141,Democratic_Republic_of_the_Congo,Democratic_Republic_of_the_Congo,"array([-4.32724791, -3.91282207])"
64,64,Dominican_Republic,Dominican_Republic,"array([-4.39096318, -4.03630341])"
96,96,El_Salvador,El_Salvador,"array([-4.36308748, -3.97760598])"
196,196,Equatorial_Guinea,Equatorial_Guinea,"array([-4.48119079, -3.73746885])"
173,173,Falkland_Islands_(Malvinas),Falkland_Islands_(Malvinas),"array([-4.61259564, -3.87356467])"
197,197,Faroe_Islands,Faroe_Islands,"array([-4.54097036, -4.13385086])"
